fecha,n_orden,especie,variedad,motivo,producto,n_app_txt,ingrediente,dosis,unidad_dosis,vol_total,gasto_total,unidad_gasto,tractor,maquina,aplicadores,car_etiqueta,car_agenda,car_mayor,fecha_viable,t_max,t_min,hr,viento,sector
2025-09-03,17,Ciruelos,D'Agen,Mejora el rendimiento,Evolution Fifty,No aplica,Ascophyllum,0.13,Litros (L),10500.0,13.65,L,1,Pulverizadora,P.A.,0,0,0,2025-09-04,17.0,6.0,62.0,10.0,CIRUELOS
2025-09-03,18,Ciruelos,D'Agen,Botar hojas,Zinc,No aplica,Zinc,0.06,Litros (L),10500.0,6.3,L,1,Pulverizadora,P.A.,0,0,0,2025-09-04,17.0,6.0,62.0,10.0,CIRUELOS
2025-09-16,19,Ciruelos,D'Agen,Enfermedades fungosas,Captan 80 WG,2 de 2,Captan 80 WG,0.18,Litros (L),10500.0,18.9,L,1,Pulverizadora,P.A.,1,0,1,2025-09-18,18.0,9.0,47.0,11.0,CIRUELOS
2025-09-26,20,Ciruelos,D'Agen,Uniforma y aumenta calibre,Thidiazuron,2 de 2,Tidiazuron,0.5,Litros (L),10500.0,52.5,kg,1,Pulverizadora,P.A.,0,0,0,2025-09-27,15.0,5.0,53.0,13.0,CIRUELOS
2025-09-26,21,Ciruelos,D'Agen,Enfermedades fungosas,Captan 80 WG,3 de 2,Captan 80 WG,0.18,Litros (L),10500.0,18.9,L,1,Pulverizadora,P.A.,1,0,1,2025-09-28,15.0,5.0,53.0,13.0,CIRUELOS
2025-09-26,22,Ciruelos,D'Agen,Mejora el rendimiento,Evolution Fifty,No aplica,Ascophyllum,0.2,Litros (L),10500.0,21.0,L,1,Pulverizadora,P.A.,0,1,1,2025-09-28,15.0,5.0,53.0,13.0,CIRUELOS
2025-10-09,23,Ciruelos,D'Agen,POLILLA ORIENTAL,Intrepid,1 de 2,Metoxifenoxid,0.02,Litros (L),10500.0,2.1,L,1,Pulverizadora,P.A.,3,12,12,2025-10-22,20.0,9.0,44.0,12.0,CIRUELOS
2025-10-09,24,Ciruelos,D'Agen,Fertilizante,Basfoliar Kelp,No aplica,Alga Eklonia,0.2,Litros (L),10500.0,21.0,L,1,Pulverizadora,P.A.,0,0,0,2025-10-10,20.0,9.0,44.0,12.0,CIRUELOS
2025-10-21,25,Ciruelos,D'Agen,Arañita,Abamectin,1 de 2,Abamectina,0.56,Litros (L),2000.0,11.2,L,1,Pulverizadora,P.A.,7,0,7,2025-10-29,20.0,9.0,46.0,13.0,CIRUELOS
2025-10-21,26,Ciruelos,D'Agen,Fertilizante,Basfoliar Kelp,No aplica,Alga Eklonia,0.2,Litros (L),2000.0,4.0,L,1,Pulverizadora,P.A.,0,0,0,2025-10-22,20.0,9.0,46.0,13.0,CIRUELOS
2025-11-03,27,Ciruelos,D'Agen,Drosophila Suzuki,Acetamiprid,1 de 1,Acetamiprid,0.11,Litros (L),2000.0,2.2,kg,1,Pulverizadora,P.A.,10,2,10,2025-11-14,21.0,8.0,39.0,15.0,CIRUELOS
2025-11-03,28,Ciruelos,D'Agen,Mejora el rendimiento,Evolution Fifty,No aplica,Ascophyllum,0.18,Litros (L),12000.0,21.6,L,1,Pulverizadora,P.A.,0,0,0,2025-11-04,21.0,8.0,39.0,15.0,CIRUELOS
2025-11-11,30,Ciruelos,D'Agen,Aumento de calibre,Macroquel Potasio,No aplica,Potasio,0.15,Kilogramos (kg),10000.0,15.0,L,1,Pulverizadora,P.A.,0,0,0,2025-11-12,22.0,7.0,59.0,12.0,CIRUELOS
2025-11-25,31,Ciruelos,D'Agen,Chépica,Cletodín,No aplica,Cletodima,0.1,Litros (L),400.0,0.4,L,1,Pulverizadora,P.A.,0,0,0,2025-11-26,24.0,12.0,41.0,15.0,CIRUELOS
2025-11-25,32,Ciruelos,D'Agen,Polilla,Lambdacialotrina,1 de 3,Lambdacialotrina,0.02,Litros (L),7500.0,1.5,L,1,Pulverizadora,P.A.,3,4,4,2025-11-30,24.0,12.0,41.0,15.0,CIRUELOS
2025-11-25,33,Ciruelos,D'Agen,Bioestimulante,Ascophyllum,No aplica,Ascophyllum,0.13,Litros (L),7500.0,9.75,L,1,Pulverizadora,P.A.,0,0,0,2025-11-26,24.0,12.0,41.0,15.0,CIRUELOS
2025-12-01,34,Ciruelos,D'Agen,Polilla,Exirel,1 de 2,Ciantraniliprol,0.1,Litros (L),10000.0,10.0,L,1,Pulverizadora,P.A.,3,0,3,2025-12-05,22.0,11.0,37.0,17.0,CIRUELOS
2025-12-01,35,Ciruelos,D'Agen,Mejora el rendimiento,Evolution Fifty,No aplica,Ascophyllum,0.075,Litros (L),10000.0,7.5,L,1,Pulverizadora,P.A.,0,0,0,2025-12-02,22.0,11.0,37.0,17.0,CIRUELOS
2025-12-02,36,Ciruelos,D'Agen,Arañita,Espirodiclofen,1 de 1,Espirodiclofeno,0.05,Litros (L),10000.0,5.0,L,1,Pulverizadora,P.A.,7,10,10,2025-12-13,21.0,10.0,37.0,16.0,CIRUELOS
2025-12-09,38,Ciruelos,D'Agen,Arañita,Abamectin,1 de 2,Abamectina,0.08,Litros (L),10000.0,8.0,L,1,Pulverizadora,P.A.,7,5,7,2025-12-17,26.0,13.0,35.0,16.0,CIRUELOS
2025-12-09,39,Ciruelos,D'Agen,Mejora el rendimiento,Evolution Fifty,No aplica,Ascophyllum,0.1,Litros (L),10000.0,10.0,L,1,Pulverizadora,P.A,0,0,0,2025-12-10,26.0,13.0,35.0,16.0,CIRUELOS
2025-12-15,40,Ciruelos,D'Agen,Mejora calibre y rebdimiento,Brasstec,No aplica,Ascophyllum,0.15,Litros (L),10000.0,15.0,L,1,Pulverizadora,P.A.,0,0,0,2025-12-16,24.0,12.0,32.0,16.0,CIRUELOS
2025-12-22,41,Ciruelos,D'Agen,Favorece calibre y rendimiento,Expert Kelp,No aplica,Expert Kelp,0.2,Litros (L),10000.0,20.0,L,1,Pulverizadora,P.A,0,0,0,2025-12-23,28.0,16.0,30.0,16.0,CIRUELOS
2025-12-29,42,Ciruelos,D'Agen,Arañita,Envidor,1 de 2,Espirodiclofeno,0.05,Litros (L),10000.0,5.0,L,1,Pulverizadora,P.A,7,10,10,2026-01-09,33.0,16.0,28.0,19.0,CIRUELOS
2025-12-29,43,Ciruelos,D'Agen,Mejora calibre y rebdimiento,Brasstec,No aplica,Ascophyllum,0.14,Litros (L),10000.0,14.0,L,1,Pulverizadora,P.A,0,0,0,2025-12-30,33.0,16.0,28.0,19.0,CIRUELOS
2026-02-09,44,Ciruelos,D'Agen,Arañita,Espirodiclofen,1 de 1,Espirodiclofeno,0.06,Litros (L),14000.0,8.4,L,1,Pulverizadora,P.A,7,10,10,2026-02-20,28.0,16.0,35.0,16.0,CIRUELOS
2026-06-03,45,Ciruelos,D'Agen,Cancer bacterial,Nordox 75 WG,No aplica,Cobre,0.15,Kilogramos (kg),7000.0,10.5,kg,1,Pulverizadora,P.A.,0,0,0,2026-06-04,22.0,9.0,72.0,10.0,CIRUELOS
